Date,MOVE
2010-07,75.9
2010-07,78.2
2010-08,77.6
2010-08,81.1
2010-08,85.9
2010-08,84.0
2010-08,80.4
2010-08,79.8
2010-08,76.6
2010-08,76.2
2010-08,81.4
2010-08,84.3
2010-08,92.8
2010-08,90.9
2010-08,87.5
2010-08,91.0
2010-08,93.2
2010-08,95.5
2010-08,97.6
2010-08,100.7
2010-08,104.4
2010-08,109.2
2010-08,109.7
2010-08,103.7
2010-09,110.1
2010-09,103.2
2010-09,95.3
2010-09,95.3
2010-09,98.2
2010-09,100.9
2010-09,104.9
2010-09,107.3
2010-09,105.5
2010-09,102.4
2010-09,102.7
2010-09,103.8
2010-09,103.6
2010-09,103.6
2010-09,96.6
2010-09,89.8
2010-09,88.7
2010-09,83.7
2010-09,85.7
2010-09,84.6
2010-09,85.6
2010-09,85.1
2010-10,86.5
2010-10,96.7
2010-10,89.2
2010-10,90.4
2010-10,87.8
2010-10,80.1
2010-10,80.1
2010-10,78.3
2010-10,81.3
2010-10,84.6
2010-10,88.1
2010-10,89.5
2010-10,88.6
2010-10,87.1
2010-10,89.6
2010-10,92.4
2010-10,90.3
2010-10,97.4
2010-10,99.9
2010-10,98.7
2010-10,99.8
2010-11,98.7
2010-11,98.3
2010-11,83.1
2010-11,82.1
2010-11,81.7
2010-11,82.5
2010-11,90.4
2010-11,91.6
2010-11,91.6
2010-11,97.7
2010-11,103.9
2010-11,100.8
2010-11,95.1
2010-11,98.6
2010-11,94.5
2010-11,90.6
