,Instrument,Price Close,Date
73850,URI.N,110.18,2020-05-12T00:00:00Z
73851,URI.N,108.77,2020-05-13T00:00:00Z
73852,URI.N,116.06,2020-05-14T00:00:00Z
73853,URI.N,118.57,2020-05-15T00:00:00Z
73854,URI.N,129.33,2020-05-18T00:00:00Z
73855,URI.N,124.75,2020-05-19T00:00:00Z
73856,URI.N,128.02,2020-05-20T00:00:00Z
73857,URI.N,127.72,2020-05-21T00:00:00Z
73858,URI.N,130.56,2020-05-22T00:00:00Z
73859,URI.N,137.17,2020-05-26T00:00:00Z
73860,URI.N,140.48,2020-05-27T00:00:00Z
73861,URI.N,137.62,2020-05-28T00:00:00Z
73862,URI.N,138.89,2020-05-29T00:00:00Z
73863,URI.N,139.96,2020-06-01T00:00:00Z
73864,URI.N,143.13,2020-06-02T00:00:00Z
73865,URI.N,149.79,2020-06-03T00:00:00Z
73866,URI.N,151.38,2020-06-04T00:00:00Z
73867,URI.N,161.36,2020-06-05T00:00:00Z
73868,URI.N,158.28,2020-06-08T00:00:00Z
73869,URI.N,158.25,2020-06-09T00:00:00Z
73870,URI.N,155.6,2020-06-10T00:00:00Z
73871,URI.N,142.05,2020-06-11T00:00:00Z
73872,URI.N,143.49,2020-06-12T00:00:00Z
73873,URI.N,147.04,2020-06-15T00:00:00Z
73874,URI.N,158.29,2020-06-16T00:00:00Z
73875,URI.N,155.56,2020-06-17T00:00:00Z
73876,URI.N,153.81,2020-06-18T00:00:00Z
73877,URI.N,155.51,2020-06-19T00:00:00Z
73878,URI.N,157.11,2020-06-22T00:00:00Z
73879,URI.N,153.98,2020-06-23T00:00:00Z
73880,URI.N,142.43,2020-06-24T00:00:00Z
73881,URI.N,144.34,2020-06-25T00:00:00Z
73882,URI.N,140.4,2020-06-26T00:00:00Z
73883,URI.N,147.72,2020-06-29T00:00:00Z
73884,URI.N,149.04,2020-06-30T00:00:00Z
73885,URI.N,145.8,2020-07-01T00:00:00Z
73886,URI.N,147.91,2020-07-02T00:00:00Z
73887,URI.N,150.74,2020-07-06T00:00:00Z
73888,URI.N,147.57,2020-07-07T00:00:00Z
73889,URI.N,148.65,2020-07-08T00:00:00Z
73890,URI.N,143.66,2020-07-09T00:00:00Z
73891,URI.N,147.83,2020-07-10T00:00:00Z
73892,URI.N,152.2,2020-07-13T00:00:00Z
